"feature","chi2","p","n_target","n_reference","direction"
"radikal",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"regeln",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"schule",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"schweiz",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"total",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"unsere",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"verhalten",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"vorteil",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"warum",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"personen",-0.873258012979367,0.350054929234603,9,27,"Right-leaning"
"arbeiten",-1.00016914132788,0.317269584074212,1,8,"Right-leaning"
"ganz",-1.00016914132788,0.317269584074212,1,8,"Right-leaning"
"etc",-1.13223489514764,0.287299133338373,0,5,"Right-leaning"
"gleichgültig",-1.13223489514764,0.287299133338373,0,5,"Right-leaning"
"kinder",-1.13223489514764,0.287299133338373,0,5,"Right-leaning"
"schmarotzer",-1.13223489514764,0.287299133338373,0,5,"Right-leaning"
"tag",-1.13223489514764,0.287299133338373,0,5,"Right-leaning"
"weltfremd",-1.13223489514764,0.287299133338373,0,5,"Right-leaning"
"alternativ",-1.57117809782215,0.210036007815766,0,6,"Right-leaning"
"grün",-1.57117809782215,0.210036007815766,0,6,"Right-leaning"
"langweilig",-1.57117809782215,0.210036007815766,0,6,"Right-leaning"
"stadt",-1.57117809782215,0.210036007815766,0,6,"Right-leaning"
"stark",-1.57117809782215,0.210036007815766,0,6,"Right-leaning"
"wissen",-1.57117809782215,0.210036007815766,0,6,"Right-leaning"
"leben",-1.93773488400036,0.163914688050817,8,29,"Right-leaning"
"ahnung",-2.02155841851307,0.155079910347944,0,7,"Right-leaning"
"extreme",-2.02155841851307,0.155079910347944,0,7,"Right-leaning"
"leute",-2.29843475438618,0.129504445766075,19,59,"Right-leaning"
"grüne",-2.47928728923964,0.115354514212381,0,8,"Right-leaning"
"links",-10.5796859253858,0.00114337082881977,0,22,"Right-leaning"
